Window Size,Events above 580mm,Non-Events above 580mm,Events above 600mm,Non-Events above 600mm,Events above 620mm,Non-Events above 620mm
1 days,0,0,0,0,0,0
2 days,0,0,0,0,0,0
3 days,0,0,0,0,0,0
4 days,0,0,0,0,0,0
5 days,0,0,0,0,0,0
6 days,0,0,0,0,0,0
7 days,0,0,0,0,0,0
8 days,0,0,0,0,0,0
9 days,0,0,0,0,0,0
10 days,0,0,0,0,0,0
11 days,0,0,0,0,0,0
12 days,0,0,0,0,0,0
13 days,0,0,0,0,0,0
14 days,0,0,0,0,0,0
15 days,0,0,0,0,0,0
16 days,0,0,0,0,0,0
17 days,0,0,0,0,0,0
18 days,0,0,0,0,0,0
19 days,0,0,0,0,0,0
20 days,0,0,0,0,0,0
21 days,0,0,0,0,0,0
22 days,0,0,0,0,0,0
23 days,0,0,0,0,0,0
24 days,0,0,0,0,0,0
25 days,0,0,0,0,0,0
26 days,0,0,0,0,0,0
27 days,0,0,0,0,0,0
28 days,0,0,0,0,0,0
29 days,0,0,0,0,0,0
30 days,0,0,0,0,0,0
31 days,0,0,0,0,0,0
32 days,0,0,0,0,0,0
33 days,0,0,0,0,0,0
34 days,0,0,0,0,0,0
35 days,0,0,0,0,0,0
36 days,0,0,0,0,0,0
37 days,0,0,0,0,0,0
38 days,0,0,0,0,0,0
39 days,0,0,0,0,0,0
40 days,0,0,0,0,0,0
41 days,1,0,0,0,0,0
42 days,1,0,0,0,0,0
43 days,2,0,0,0,0,0
44 days,2,0,2,0,0,0
45 days,2,0,2,0,2,0
46 days,4,0,2,0,2,0
47 days,4,0,3,0,2,0
48 days,4,0,3,0,3,0
49 days,4,0,3,0,3,0
50 days,4,0,3,0,3,0
51 days,4,0,4,0,3,0
52 days,4,0,4,0,3,0
53 days,4,0,4,0,3,0
54 days,6,0,4,0,4,0
55 days,6,0,4,0,4,0
56 days,6,0,5,0,4,0
57 days,7,0,6,0,4,0
58 days,7,0,7,0,5,0
59 days,7,0,7,0,5,0
60 days,7,0,7,0,5,0
61 days,8,0,7,0,7,0
62 days,8,0,7,0,7,0
63 days,9,0,7,0,7,0
64 days,9,0,8,0,8,0
65 days,9,0,9,0,8,0
66 days,9,0,9,0,8,0
67 days,9,0,9,0,8,0
68 days,10,0,9,0,9,0
69 days,10,0,10,0,9,0
70 days,10,0,10,0,10,0
71 days,10,0,10,0,10,0
72 days,10,0,10,0,10,0
73 days,10,0,10,0,10,0
74 days,10,0,10,0,10,0
75 days,11,0,10,0,10,0
76 days,11,0,10,0,10,0
77 days,12,0,10,0,10,0
78 days,12,0,10,0,10,0
79 days,12,0,11,0,10,0
80 days,13,0,11,0,10,0
81 days,13,0,11,0,11,0
82 days,13,0,11,0,11,0
83 days,13,0,11,0,11,0
84 days,13,0,11,0,11,0
85 days,13,0,11,0,11,0
86 days,13,0,11,0,11,0
87 days,13,0,12,0,11,0
88 days,13,0,12,0,11,0
89 days,13,0,12,0,12,0
90 days,13,0,13,0,12,0
91 days,13,0,13,0,12,0
92 days,13,0,13,0,12,0
93 days,13,0,13,0,12,0
94 days,13,0,13,0,12,0
95 days,14,0,13,0,12,0
96 days,14,0,13,0,12,0
97 days,14,0,13,0,12,0
98 days,14,0,13,0,12,0
99 days,14,0,13,0,12,0
100 days,14,0,13,0,12,0
101 days,14,0,13,0,12,0
102 days,14,0,13,0,12,0
103 days,14,0,13,0,12,0
104 days,14,0,13,0,13,0
105 days,14,0,13,0,13,0
106 days,14,0,13,0,13,0
107 days,14,0,13,0,13,0
108 days,14,0,13,0,13,0
109 days,14,0,14,0,13,0
110 days,14,0,14,0,13,0
111 days,14,0,14,0,13,0
112 days,14,0,14,0,13,0
113 days,14,0,14,0,13,0
114 days,14,0,14,0,13,0
115 days,14,0,14,0,14,0
116 days,14,1,14,0,14,0
117 days,14,1,14,0,14,0
118 days,14,1,14,1,14,0
119 days,15,1,14,1,14,1
120 days,15,1,14,1,14,1
121 days,15,1,14,1,14,1
122 days,15,1,14,1,14,1
123 days,15,1,14,1,14,1
124 days,15,1,14,1,14,1
125 days,15,1,14,1,14,1
126 days,15,1,14,1,14,1
127 days,15,1,14,1,14,1
128 days,15,1,14,1,14,1
129 days,15,1,14,1,14,1
130 days,15,1,14,1,14,1
131 days,15,1,14,1,14,1
132 days,15,1,14,1,14,1
133 days,15,1,14,1,14,1
134 days,15,1,14,1,14,1
135 days,15,2,14,1,14,1
136 days,15,2,14,1,14,1
137 days,15,2,14,1,14,1
138 days,15,2,14,1,14,1
139 days,15,2,14,1,14,1
140 days,15,2,14,1,14,1
141 days,15,2,14,1,14,1
142 days,15,2,14,2,14,1
143 days,15,2,14,2,14,1
144 days,15,2,14,2,14,1
145 days,15,2,14,2,14,1
146 days,15,2,14,2,14,1
147 days,15,2,14,2,14,1
148 days,15,2,14,2,14,1
149 days,15,2,14,2,14,1
150 days,15,2,14,2,14,1
151 days,15,2,14,2,14,1
152 days,15,2,14,2,14,1
153 days,15,2,14,2,14,1
154 days,15,2,14,2,14,1
155 days,15,2,14,2,14,1
156 days,15,2,14,2,14,1
157 days,15,3,14,2,14,1
158 days,15,3,14,2,14,1
159 days,15,3,14,2,14,1
160 days,15,3,14,2,14,2
161 days,15,3,14,2,14,2
162 days,15,3,14,2,14,2
163 days,15,3,14,2,14,2
164 days,15,3,14,2,14,2
165 days,15,3,14,2,14,2
166 days,15,3,14,3,14,2
167 days,15,3,14,3,14,2
168 days,15,3,14,3,14,2
169 days,15,3,14,3,14,2
170 days,15,3,14,3,14,2
171 days,15,3,14,3,14,2
172 days,15,3,14,3,14,2
173 days,15,3,14,3,14,2
174 days,15,3,14,3,14,2
175 days,15,3,14,3,14,2
176 days,15,3,14,3,14,2
177 days,15,3,14,3,14,2
178 days,15,3,14,3,14,2
179 days,15,3,14,3,14,2
180 days,15,3,14,3,14,2
181 days,15,3,14,3,14,2
182 days,15,3,14,3,14,2
183 days,15,4,14,3,14,2
184 days,15,4,14,3,14,2
185 days,15,4,14,3,14,2
186 days,15,4,14,3,14,2
187 days,15,4,14,3,14,2
188 days,15,4,14,3,14,2
189 days,15,4,14,3,14,2
190 days,15,4,14,3,14,2
191 days,15,4,14,3,14,2
192 days,15,4,14,3,14,2
193 days,15,4,14,3,14,2
194 days,15,4,14,3,14,2
195 days,15,4,14,3,14,2
196 days,15,4,14,3,14,2
197 days,15,4,14,3,14,2
198 days,15,4,14,3,14,2
199 days,15,4,14,3,14,2
200 days,15,4,14,4,14,2
201 days,15,4,14,4,14,2
202 days,15,4,14,4,14,3
203 days,15,4,14,4,14,3
204 days,15,4,14,4,14,3
205 days,15,4,14,4,14,3
206 days,15,4,14,4,14,3
207 days,15,4,14,4,14,3
208 days,15,4,14,4,14,3
