event_no,start_date,end_date,duration in days (filtered),cum precip (filtered),112 day total,lake peaks
1,1990-12-27,1991-03-17,75.0,581.0,657.24,225.11
2,1992-11-30,1993-03-22,96.0,628.72,639.16,412.65
3,2000-01-29,2000-03-17,45.0,400.26,617.04,173.46
4,2000-12-30,2001-05-07,94.0,734.52,969.84,623.98
5,2002-05-10,2002-05-26,,,168.91,90.27
6,2002-07-13,2003-03-26,112.0,709.11,702.1,445.82
7,2004-01-16,2004-04-05,70.0,439.26,775.39,425.0
8,2005-11-18,2006-02-22,94.0,632.56,871.78,596.29
9,2008-11-10,2009-03-18,107.0,790.83,791.2,602.84
10,2010-04-22,2011-06-12,411.0,1291.77,1031.78,231.75
11,2014-01-11,2014-04-17,70.0,649.76,792.21,560.38
12,2014-12-13,2015-01-30,43.0,423.94,573.46,208.35
13,2015-10-13,2016-02-18,102.0,612.61,645.09,376.48
14,2016-12-02,2017-03-24,111.0,728.07,736.36,215.45
15,2018-11-22,2018-12-08,7.0,35.7,78.39,120.24
16,2022-12-11,2023-03-25,100.0,699.68,735.9,207.25
17,2023-12-22,2024-07-17,99.0,1046.59,1060.82,606.9
